Sample_ID,C_N,d13C_post,d13C_kilj,d13C,d15N,location,organism,month,tissue,,,
FN-M23-YP-104-M,4.407566141,-27.15650952,-26.70391231,-28.2,5.85,int,yellow perch,may,muscle,,,
FN-M23-YP-105-M,3.986569161,-27.46329653,-26.87450826,-28.09,5.92,int,yellow perch,may,muscle,,,
FN-M23-YP-106-M,4.119749293,-26.3314482,-25.78509578,-27.09,6.06,int,yellow perch,may,muscle,,,
FN-M23-YP-107-L,5.234410124,-29.08793398,-28.9197667,-30.95,7.87,int,yellow perch,may,liver,,,
FN-M23-YP-107-M,4.037348148,-28.86302533,-28.29034568,-29.54,8.29,int,yellow perch,may,muscle,,,
FN-M23-YP-108-L,5.194806276,-25.86714179,-25.68485411,-27.69,7.54,int,yellow perch,may,liver,,,
FN-M23-YP-108-M,3.970687814,-26.81901906,-26.22521087,-27.43,6.9,int,yellow perch,may,muscle,,,
FN-M23-YP-2-L,5.075966707,-27.88479296,-27.66042921,-29.59,6.55,int,yellow perch,may,liver,,,
FN-M23-YP-2-M,4.096395287,-27.04456867,-26.49073118,-27.78,6.17,int,yellow perch,may,muscle,,,
FN-M23-YP-3-L,5.336319311,-27.38704388,-27.25543601,-29.35,6.09,int,yellow perch,may,liver,,,
FN-M23-YP-3-M,4.064087742,-26.23655314,-25.67239148,-26.94,5.9,int,yellow perch,may,muscle,,,
LK-M23-CC-100-L,7.008166109,-26.15191555,-26.66427867,-29.77,6.74,lake,creek chub,may,liver,,,
LK-M23-CC-100-M,3.91454909,-26.6645964,-26.05311277,-27.22,7.48,lake,creek chub,may,muscle,,,
LK-M23-CS-100-L,6.869285347,-27.37940751,-27.83522512,-30.86,4.51,lake,common shiner,may,liver,,,
LK-M23-CS-100-M,4.135064106,-29.46628654,-28.92485263,-30.24,5.26,lake,common shiner,may,muscle,,,
LK-M23-CS-101-L,7.936240088,-26.02312231,-26.92668853,-30.56,4.85,lake,common shiner,may,liver,,,
LK-M23-CS-101-M,3.806097311,-27.62196366,-26.97664154,-28.07,5.86,lake,common shiner,may,muscle,,,
LK-M23-CS-102-L,6.899066481,-25.85992418,-26.3278224,-29.37,4.97,lake,common shiner,may,liver,,,
LK-M23-CS-102-M,3.826101316,-26.4421597,-25.80304848,-26.91,5.52,lake,common shiner,may,muscle,,,
LK-M23-GS-200-L,5.213515062,-27.93862009,-27.76299676,-29.78,4.91,lake,golden shiner,may,liver,,,
LK-M23-GS-200-M,3.772685773,-28.04504108,-27.38937625,-28.46,6.31,lake,golden shiner,may,muscle,,,
LK-M23-GS-201-L,4.653773947,-29.26276379,-28.89255159,-30.55,4.65,lake,golden shiner,may,liver,,,
